Year,Country,First,Second,Third,Fourth
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia
1934,Italy,Italy,Czechoslovakia,Germany,Austria
1938,France,Italy,Hungary,Brazil,Sweden
1950,Brazil,Uruguay,Brazil,Sweden,Spain
1954,Switzerland,Germany FR,Hungary,Austria,Uruguay
1958,Sweden,Brazil,Sweden,France,Germany FR
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia
1966,England,England,Germany FR,Portugal,Soviet Union
1970,Mexico,Brazil,Italy,Germany FR,Uruguay
1974,Germany,Germany FR,Netherlands,Poland,Brazil
1978,Argentina,Argentina,Netherlands,Brazil,Italy
1982,Spain,Italy,Germany FR,Poland,France
1986,Mexico,Argentina,Germany FR,France,Belgium
1990,Italy,Germany FR,Argentina,Italy,England
1994,USA,Brazil,Italy,Sweden,Bulgaria
1998,France,France,Brazil,Croatia,Netherlands
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic
2006,Germany,Italy,France,Germany,Portugal
2010,South Africa,Spain,Netherlands,Germany,Uruguay
2014,Brazil,Germany,Argentina,Netherlands,Brazil
2018,Russia,France,Croatia,Belgium,England
